elapsed_seconds,throughput_tflops,telemetry
1034.0914347171783,20.23183669039925,"['2026/09/22 23:06:09.496', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
1039.133759021759,20.172295593841568,"['2026/09/22 23:06:14.538', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
1044.1802010536194,20.130688398337796,"['2026/09/22 23:06:19.583', ' 6', ' 49', ' 28.14', ' 585', ' 5000']"
1049.2230110168457,20.21196451406621,"['2026/09/22 23:06:24.628', ' 0', ' 49', ' 39.63', ' 585', ' 5000']"
1054.2658376693726,20.27990038725798,"['2026/09/22 23:06:29.670', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
1059.3084471225739,20.199880021561693,"['2026/09/22 23:06:34.713', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
1064.3532264232635,20.08694766300154,"['2026/09/22 23:06:39.758', ' 0', ' 49', ' 32.67', ' 585', ' 5000']"
1069.399557352066,20.077396362421908,"['2026/09/22 23:06:44.801', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
1074.442566394806,20.187961201931277,"['2026/09/22 23:06:49.847', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
1079.4853212833405,20.12131345213792,"['2026/09/22 23:06:54.890', ' 2', ' 49', ' 28.26', ' 585', ' 5000']"
1084.5320262908936,19.948797137177518,"['2026/09/22 23:06:59.933', ' 0', ' 49', ' 42.39', ' 585', ' 5000']"
1089.574355840683,20.19633880895715,"['2026/09/22 23:07:04.979', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
1094.6202368736267,20.071839957418863,"['2026/09/22 23:07:10.022', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
1099.6640923023224,20.02295627767503,"['2026/09/22 23:07:15.069', ' 0', ' 49', ' 35.62', ' 585', ' 5000']"
